round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.8392,0.80382,0.73713,0.7605,0.8392,0.8392,0.8392
2,0.83864,0.80332,0.73577,0.7593,0.83864,0.83864,0.83864
3,0.83809,0.80073,0.73738,0.75991,0.83809,0.83809,0.83809
4,0.83957,0.80206,0.74108,0.76313,0.83957,0.83957,0.83957
5,0.83883,0.80148,0.73911,0.76145,0.83883,0.83883,0.83883
6,0.83957,0.80272,0.74009,0.76254,0.83957,0.83957,0.83957
7,0.83975,0.80132,0.74293,0.76435,0.83975,0.83975,0.83975
8,0.83846,0.80204,0.73688,0.75986,0.83846,0.83846,0.83846
9,0.83883,0.80148,0.73911,0.76145,0.83883,0.83883,0.83883
10,0.83883,0.80034,0.74083,0.76248,0.83883,0.83883,0.83883
11,0.83772,0.80061,0.73615,0.75891,0.83772,0.83772,0.83772
12,0.83975,0.8007,0.74392,0.76492,0.83975,0.83975,0.83975
13,0.83883,0.80131,0.73935,0.7616,0.83883,0.83883,0.83883
14,0.83828,0.80181,0.73652,0.75951,0.83828,0.83828,0.83828
15,0.83717,0.79942,0.73578,0.75832,0.83717,0.83717,0.83717
16,0.83883,0.80181,0.73861,0.76115,0.83883,0.83883,0.83883
17,0.83975,0.80164,0.74243,0.76406,0.83975,0.83975,0.83975
18,0.83828,0.80014,0.73898,0.761,0.83828,0.83828,0.83828
19,0.83846,0.79989,0.74009,0.76179,0.83846,0.83846,0.83846
20,0.83864,0.80142,0.73849,0.76095,0.83864,0.83864,0.83864
