round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.4563,0.65973,0.46935,0.38664,0.4563,0.4563,0.4563
2,0.6159,0.72863,0.62361,0.57257,0.6159,0.6159,0.6159
3,0.7725,0.79929,0.77324,0.75456,0.7725,0.7725,0.7725
4,0.8306,0.83207,0.83053,0.82694,0.8306,0.8306,0.8306
5,0.8563,0.85438,0.85645,0.85441,0.8563,0.8563,0.8563
6,0.872,0.87022,0.87237,0.8705,0.872,0.872,0.872
7,0.8788,0.87743,0.87909,0.87759,0.8788,0.8788,0.8788
8,0.8849,0.88398,0.88517,0.88373,0.8849,0.8849,0.8849
9,0.8901,0.88935,0.89024,0.88907,0.8901,0.8901,0.8901
10,0.8938,0.89371,0.89391,0.89273,0.8938,0.8938,0.8938
11,0.8959,0.89559,0.89596,0.89473,0.8959,0.8959,0.8959
12,0.8968,0.89692,0.89691,0.89571,0.8968,0.8968,0.8968
13,0.9005,0.90053,0.90059,0.89938,0.9005,0.9005,0.9005
14,0.9023,0.90267,0.9023,0.90121,0.9023,0.9023,0.9023
15,0.9041,0.90464,0.90415,0.90312,0.9041,0.9041,0.9041
16,0.9056,0.90634,0.90559,0.90463,0.9056,0.9056,0.9056
17,0.9077,0.90786,0.90777,0.90676,0.9077,0.9077,0.9077
18,0.91,0.91071,0.91006,0.90916,0.91,0.91,0.91
19,0.9109,0.91163,0.91085,0.90997,0.9109,0.9109,0.9109
20,0.914,0.91409,0.91405,0.91321,0.914,0.914,0.914
21,0.915,0.9158,0.91501,0.91422,0.915,0.915,0.915
22,0.9154,0.91626,0.91542,0.91463,0.9154,0.9154,0.9154
23,0.9165,0.9173,0.91639,0.91575,0.9165,0.9165,0.9165
24,0.9177,0.91848,0.91766,0.91696,0.9177,0.9177,0.9177
25,0.9183,0.91921,0.91837,0.91754,0.9183,0.9183,0.9183
26,0.9201,0.92038,0.92006,0.91926,0.9201,0.9201,0.9201
27,0.9206,0.92112,0.92063,0.91982,0.9206,0.9206,0.9206
28,0.9203,0.92089,0.92036,0.91949,0.9203,0.9203,0.9203
29,0.922,0.92238,0.922,0.92116,0.922,0.922,0.922
30,0.9219,0.92253,0.92197,0.92114,0.9219,0.9219,0.9219
31,0.9248,0.92535,0.92483,0.92415,0.9248,0.9248,0.9248
32,0.9243,0.92488,0.92433,0.9236,0.9243,0.9243,0.9243
33,0.9261,0.92671,0.92614,0.92543,0.9261,0.9261,0.9261
34,0.9267,0.92709,0.92669,0.92603,0.9267,0.9267,0.9267
35,0.927,0.92732,0.92706,0.92634,0.927,0.927,0.927
36,0.9261,0.92694,0.92612,0.9254,0.9261,0.9261,0.9261
37,0.9278,0.92814,0.92784,0.92714,0.9278,0.9278,0.9278
38,0.9286,0.92892,0.92858,0.92793,0.9286,0.9286,0.9286
39,0.9293,0.92997,0.92933,0.92865,0.9293,0.9293,0.9293
40,0.9297,0.93019,0.92969,0.92914,0.9297,0.9297,0.9297
41,0.9288,0.92975,0.92876,0.92816,0.9288,0.9288,0.9288
42,0.9294,0.92946,0.92935,0.92866,0.9294,0.9294,0.9294
43,0.9308,0.93121,0.93076,0.93018,0.9308,0.9308,0.9308
44,0.9309,0.93168,0.93093,0.93031,0.9309,0.9309,0.9309
45,0.932,0.93256,0.93191,0.9314,0.932,0.932,0.932
46,0.9318,0.93249,0.93175,0.93122,0.9318,0.9318,0.9318
47,0.9315,0.93207,0.93158,0.93092,0.9315,0.9315,0.9315
48,0.9323,0.93298,0.93229,0.93175,0.9323,0.9323,0.9323
49,0.9326,0.93302,0.93259,0.93199,0.9326,0.9326,0.9326
50,0.9322,0.9328,0.93217,0.9316,0.9322,0.9322,0.9322
