round,comm_costs
1,712440
2,712440
3,712440
4,712440
5,712440
6,712440
7,712440
8,712440
9,712440
10,712440
11,712440
12,712440
13,712440
14,712440
15,712440
16,712440
17,712440
18,712440
19,712440
20,712440
21,712440
22,712440
23,712440
24,712440
25,712440
26,712440
27,712440
28,712440
29,712440
30,712440
31,712440
32,712440
33,712440
34,712440
35,712440
36,712440
37,712440
38,712440
39,712440
40,712440
41,712440
42,712440
43,712440
44,712440
45,712440
46,712440
47,712440
48,712440
49,712440
50,2493540
