round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.2411,0.1878,0.24385,0.13856,0.2411,0.2411,0.2411
2,0.3428,0.23635,0.3476,0.23585,0.3428,0.3428,0.3428
3,0.4543,0.47593,0.4575,0.37783,0.4543,0.4543,0.4543
4,0.3386,0.29135,0.34555,0.25457,0.3386,0.3386,0.3386
5,0.3979,0.3752,0.41135,0.30034,0.3979,0.3979,0.3979
6,0.4494,0.41708,0.45841,0.3378,0.4494,0.4494,0.4494
7,0.5905,0.50945,0.59117,0.50632,0.5905,0.5905,0.5905
8,0.6427,0.60278,0.64363,0.5767,0.6427,0.6427,0.6427
9,0.7571,0.80434,0.75402,0.72229,0.7571,0.7571,0.7571
10,0.7301,0.76675,0.72858,0.69151,0.7301,0.7301,0.7301
11,0.636,0.77334,0.62955,0.59718,0.636,0.636,0.636
12,0.7107,0.77986,0.70966,0.68181,0.7107,0.7107,0.7107
13,0.6363,0.76324,0.63933,0.605,0.6363,0.6363,0.6363
14,0.7591,0.82462,0.76011,0.75188,0.7591,0.7591,0.7591
15,0.7151,0.76682,0.71336,0.68866,0.7151,0.7151,0.7151
16,0.7012,0.76393,0.70376,0.67077,0.7012,0.7012,0.7012
17,0.6876,0.76987,0.68769,0.65635,0.6876,0.6876,0.6876
18,0.7927,0.84972,0.79126,0.75996,0.7927,0.7927,0.7927
19,0.7232,0.79381,0.72164,0.70512,0.7232,0.7232,0.7232
20,0.759,0.84799,0.75737,0.72836,0.759,0.759,0.759
21,0.744,0.81234,0.74434,0.72439,0.744,0.744,0.744
22,0.8016,0.83506,0.79852,0.78293,0.8016,0.8016,0.8016
23,0.7835,0.85513,0.78218,0.75839,0.7835,0.7835,0.7835
24,0.6165,0.74184,0.61876,0.60298,0.6165,0.6165,0.6165
25,0.7838,0.84194,0.78184,0.7475,0.7838,0.7838,0.7838
26,0.8727,0.88157,0.8737,0.86874,0.8727,0.8727,0.8727
27,0.8747,0.88321,0.87341,0.87305,0.8747,0.8747,0.8747
28,0.8233,0.8484,0.82403,0.81778,0.8233,0.8233,0.8233
29,0.7544,0.84939,0.75682,0.7377,0.7544,0.7544,0.7544
30,0.8406,0.86785,0.84232,0.83044,0.8406,0.8406,0.8406
31,0.7676,0.85274,0.76437,0.76125,0.7676,0.7676,0.7676
32,0.8623,0.87633,0.8628,0.85366,0.8623,0.8623,0.8623
33,0.7611,0.84323,0.76441,0.74732,0.7611,0.7611,0.7611
34,0.7648,0.84947,0.76431,0.74989,0.7648,0.7648,0.7648
35,0.8323,0.86586,0.8341,0.83056,0.8323,0.8323,0.8323
36,0.8093,0.85743,0.81031,0.80092,0.8093,0.8093,0.8093
37,0.8407,0.86772,0.84142,0.8368,0.8407,0.8407,0.8407
38,0.8044,0.85055,0.80317,0.80039,0.8044,0.8044,0.8044
39,0.8403,0.8726,0.84003,0.84238,0.8403,0.8403,0.8403
40,0.8694,0.89244,0.86911,0.87057,0.8694,0.8694,0.8694
41,0.7219,0.85356,0.72349,0.71966,0.7219,0.7219,0.7219
42,0.8485,0.86563,0.84891,0.83855,0.8485,0.8485,0.8485
43,0.8996,0.90762,0.89947,0.89695,0.8996,0.8996,0.8996
44,0.8735,0.88956,0.87373,0.87236,0.8735,0.8735,0.8735
45,0.8533,0.88136,0.85304,0.85369,0.8533,0.8533,0.8533
46,0.8544,0.88665,0.85697,0.85657,0.8544,0.8544,0.8544
47,0.887,0.90137,0.88644,0.88729,0.887,0.887,0.887
48,0.8711,0.89213,0.87018,0.87055,0.8711,0.8711,0.8711
49,0.8656,0.88898,0.86462,0.86468,0.8656,0.8656,0.8656
50,0.8509,0.8866,0.84811,0.85246,0.8509,0.8509,0.8509
