round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.83846,0.80204,0.73688,0.75986,0.83846,0.83846,0.83846
2,0.83809,0.8009,0.73713,0.75976,0.83809,0.83809,0.83809
3,0.83864,0.80125,0.73874,0.7611,0.83864,0.83864,0.83864
4,0.83846,0.79989,0.74009,0.76179,0.83846,0.83846,0.83846
5,0.83846,0.80221,0.73664,0.75971,0.83846,0.83846,0.83846
6,0.83754,0.80324,0.73183,0.75611,0.83754,0.83754,0.83754
7,0.83846,0.80021,0.7396,0.7615,0.83846,0.83846,0.83846
8,0.83864,0.80125,0.73874,0.7611,0.83864,0.83864,0.83864
9,0.83772,0.79913,0.73837,0.76026,0.83772,0.83772,0.83772
10,0.83791,0.79984,0.738,0.76016,0.83791,0.83791,0.83791
11,0.83957,0.80157,0.74182,0.76357,0.83957,0.83957,0.83957
12,0.8392,0.80112,0.74108,0.76288,0.8392,0.8392,0.8392
13,0.83809,0.80024,0.73812,0.76036,0.83809,0.83809,0.83809
14,0.83772,0.80095,0.73565,0.75861,0.83772,0.83772,0.83772
15,0.83735,0.79999,0.73565,0.75837,0.83735,0.83735,0.83735
16,0.83975,0.80278,0.74071,0.76303,0.83975,0.83975,0.83975
17,0.83828,0.80181,0.73652,0.75951,0.83828,0.83828,0.83828
18,0.83735,0.80032,0.73516,0.75806,0.83735,0.83735,0.83735
19,0.83901,0.80121,0.74022,0.76224,0.83901,0.83901,0.83901
20,0.8392,0.80128,0.74083,0.76273,0.8392,0.8392,0.8392
