round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.3677,0.34842,0.38135,0.27727,0.3677,0.3677,0.3677
2,0.5323,0.62193,0.54359,0.47054,0.5323,0.5323,0.5323
3,0.6721,0.66674,0.67557,0.62865,0.6721,0.6721,0.6721
4,0.7263,0.78275,0.72865,0.69036,0.7263,0.7263,0.7263
5,0.7705,0.80809,0.77135,0.74214,0.7705,0.7705,0.7705
6,0.7978,0.83015,0.79805,0.77805,0.7978,0.7978,0.7978
7,0.8249,0.84345,0.82506,0.81629,0.8249,0.8249,0.8249
8,0.8435,0.85511,0.84344,0.83772,0.8435,0.8435,0.8435
9,0.8578,0.86568,0.85775,0.8545,0.8578,0.8578,0.8578
10,0.8682,0.87438,0.86826,0.86596,0.8682,0.8682,0.8682
11,0.8769,0.88118,0.87697,0.87518,0.8769,0.8769,0.8769
12,0.8837,0.88579,0.88394,0.88249,0.8837,0.8837,0.8837
13,0.8897,0.89104,0.88989,0.88859,0.8897,0.8897,0.8897
14,0.8935,0.89479,0.89369,0.89245,0.8935,0.8935,0.8935
15,0.8964,0.89816,0.89642,0.8954,0.8964,0.8964,0.8964
16,0.8998,0.9009,0.89984,0.89885,0.8998,0.8998,0.8998
17,0.8992,0.9003,0.89925,0.89822,0.8992,0.8992,0.8992
18,0.9019,0.90313,0.90194,0.90099,0.9019,0.9019,0.9019
19,0.904,0.90499,0.90401,0.90311,0.904,0.904,0.904
20,0.9059,0.90666,0.9059,0.90497,0.9059,0.9059,0.9059
21,0.9072,0.90829,0.90711,0.90636,0.9072,0.9072,0.9072
22,0.9088,0.90958,0.9088,0.90789,0.9088,0.9088,0.9088
23,0.9097,0.91077,0.90958,0.90876,0.9097,0.9097,0.9097
24,0.9121,0.91264,0.91202,0.91117,0.9121,0.9121,0.9121
25,0.912,0.91252,0.91192,0.91111,0.912,0.912,0.912
26,0.9114,0.91219,0.91129,0.91047,0.9114,0.9114,0.9114
27,0.9135,0.91449,0.91339,0.91273,0.9135,0.9135,0.9135
28,0.9154,0.91606,0.91525,0.91456,0.9154,0.9154,0.9154
29,0.9156,0.91674,0.91544,0.91484,0.9156,0.9156,0.9156
30,0.9168,0.91725,0.91677,0.9159,0.9168,0.9168,0.9168
31,0.9174,0.91806,0.91729,0.91659,0.9174,0.9174,0.9174
32,0.9192,0.92047,0.91912,0.91864,0.9192,0.9192,0.9192
33,0.9207,0.92137,0.92055,0.92001,0.9207,0.9207,0.9207
34,0.9222,0.92301,0.92201,0.92152,0.9222,0.9222,0.9222
35,0.9208,0.92155,0.92074,0.92011,0.9208,0.9208,0.9208
36,0.9232,0.92359,0.92308,0.92244,0.9232,0.9232,0.9232
37,0.9252,0.92579,0.92503,0.92451,0.9252,0.9252,0.9252
38,0.9258,0.92626,0.92573,0.9251,0.9258,0.9258,0.9258
39,0.9264,0.92686,0.92629,0.92565,0.9264,0.9264,0.9264
40,0.9264,0.92696,0.92626,0.92567,0.9264,0.9264,0.9264
41,0.9292,0.92972,0.92907,0.92859,0.9292,0.9292,0.9292
42,0.9292,0.92956,0.92911,0.92854,0.9292,0.9292,0.9292
43,0.9304,0.93083,0.93025,0.92977,0.9304,0.9304,0.9304
44,0.9301,0.93057,0.92994,0.92948,0.9301,0.9301,0.9301
45,0.9319,0.93263,0.93187,0.93138,0.9319,0.9319,0.9319
46,0.9302,0.93102,0.93005,0.9296,0.9302,0.9302,0.9302
47,0.9318,0.93236,0.93178,0.93123,0.9318,0.9318,0.9318
48,0.9314,0.93194,0.93136,0.93083,0.9314,0.9314,0.9314
49,0.9337,0.9339,0.93356,0.93313,0.9337,0.9337,0.9337
50,0.934,0.93437,0.93393,0.93352,0.934,0.934,0.934
