round,comm_costs
1,2137320
2,2137320
3,2137320
4,2137320
5,2137320
6,2137320
7,2137320
8,2137320
9,2137320
10,2137320
11,2137320
12,2137320
13,2137320
14,2137320
15,2137320
16,2137320
17,2137320
18,2137320
19,2137320
20,2137320
21,2137320
22,2137320
23,2137320
24,2137320
25,2137320
26,2137320
27,2137320
28,2137320
29,2137320
30,2137320
31,2137320
32,2137320
33,2137320
34,2137320
35,2137320
36,2137320
37,2137320
38,2137320
39,2137320
40,2137320
41,2137320
42,2137320
43,2137320
44,2137320
45,2137320
46,2137320
47,2137320
48,2137320
49,2137320
50,3918420
