round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.3782,0.27634,0.37811,0.28817,0.3782,0.3782,0.3782
2,0.3711,0.38513,0.37393,0.29968,0.3711,0.3711,0.3711
3,0.4814,0.52791,0.47029,0.38916,0.4814,0.4814,0.4814
4,0.4511,0.35811,0.46484,0.36776,0.4511,0.4511,0.4511
5,0.5662,0.48537,0.56339,0.45334,0.5662,0.5662,0.5662
6,0.5988,0.56975,0.60155,0.51729,0.5988,0.5988,0.5988
7,0.6212,0.50811,0.61982,0.53038,0.6212,0.6212,0.6212
8,0.661,0.65927,0.6634,0.6052,0.661,0.661,0.661
9,0.7797,0.79552,0.77922,0.76851,0.7797,0.7797,0.7797
10,0.7925,0.84258,0.79183,0.7576,0.7925,0.7925,0.7925
11,0.751,0.81506,0.74944,0.72811,0.751,0.751,0.751
12,0.7749,0.84024,0.77496,0.75351,0.7749,0.7749,0.7749
13,0.7098,0.83006,0.71578,0.71463,0.7098,0.7098,0.7098
14,0.7503,0.82586,0.74756,0.73276,0.7503,0.7503,0.7503
15,0.7992,0.84324,0.80079,0.76035,0.7992,0.7992,0.7992
16,0.7937,0.84611,0.79401,0.76916,0.7937,0.7937,0.7937
17,0.8252,0.86969,0.82399,0.79701,0.8252,0.8252,0.8252
18,0.8594,0.87574,0.85884,0.85477,0.8594,0.8594,0.8594
19,0.778,0.84698,0.77792,0.75432,0.778,0.778,0.778
20,0.8146,0.86231,0.81136,0.78478,0.8146,0.8146,0.8146
21,0.8681,0.8799,0.86783,0.86611,0.8681,0.8681,0.8681
22,0.8666,0.87282,0.86604,0.86366,0.8666,0.8666,0.8666
23,0.8388,0.86507,0.83853,0.83185,0.8388,0.8388,0.8388
24,0.7628,0.85178,0.76441,0.74864,0.7628,0.7628,0.7628
25,0.8155,0.86184,0.81361,0.78918,0.8155,0.8155,0.8155
26,0.8538,0.8729,0.85466,0.84502,0.8538,0.8538,0.8538
27,0.8877,0.89638,0.88736,0.88467,0.8877,0.8877,0.8877
28,0.8697,0.88457,0.87066,0.86421,0.8697,0.8697,0.8697
29,0.8652,0.88313,0.86593,0.8633,0.8652,0.8652,0.8652
30,0.881,0.89118,0.88181,0.87769,0.881,0.881,0.881
31,0.9033,0.90787,0.90312,0.9023,0.9033,0.9033,0.9033
32,0.9,0.90581,0.89976,0.89941,0.9,0.9,0.9
33,0.8624,0.884,0.86412,0.85674,0.8624,0.8624,0.8624
34,0.8778,0.89531,0.8775,0.87618,0.8778,0.8778,0.8778
35,0.8633,0.88518,0.86451,0.86313,0.8633,0.8633,0.8633
36,0.901,0.90631,0.9014,0.89914,0.901,0.901,0.901
37,0.8273,0.87315,0.82767,0.82288,0.8273,0.8273,0.8273
38,0.8662,0.88322,0.86593,0.86262,0.8662,0.8662,0.8662
39,0.8844,0.89504,0.88439,0.8825,0.8844,0.8844,0.8844
40,0.9139,0.91824,0.91431,0.91401,0.9139,0.9139,0.9139
41,0.8771,0.89575,0.87637,0.87206,0.8771,0.8771,0.8771
42,0.8751,0.89185,0.87474,0.86852,0.8751,0.8751,0.8751
43,0.9171,0.92192,0.91647,0.91657,0.9171,0.9171,0.9171
44,0.8977,0.90306,0.89732,0.89526,0.8977,0.8977,0.8977
45,0.889,0.90156,0.88774,0.88799,0.889,0.889,0.889
46,0.8817,0.90135,0.88269,0.88316,0.8817,0.8817,0.8817
47,0.9172,0.9183,0.91735,0.91583,0.9172,0.9172,0.9172
48,0.9123,0.91812,0.91292,0.91292,0.9123,0.9123,0.9123
49,0.9072,0.91226,0.9075,0.90517,0.9072,0.9072,0.9072
50,0.8947,0.91012,0.89267,0.89287,0.8947,0.8947,0.8947
